timestep,collision
1,13
2,15
3,14
4,16
5,17
6,20
7,21
8,17
9,19
10,18
11,18
12,17
13,14
14,12
15,13
16,16
17,17
18,19
19,18
20,18
21,18
22,24
23,28
24,37
25,39
26,47
27,57
28,50
29,45
30,48
31,42
32,39
33,48
34,40
35,41
36,34
37,29
38,24
39,28
40,18
41,22
42,18
43,25
44,26
45,16
46,16
47,20
48,20
49,10
50,6
51,8
52,6
53,8
54,10
55,2
56,3
57,2
58,0
59,24
60,22
61,16
62,13
63,17
64,10
65,14
66,17
67,14
68,14
69,12
70,16
71,16
72,12
73,18
74,8
75,15
76,14
77,12
78,12
79,16
80,12
81,17
82,17
83,18
84,21
85,15
86,20
87,17
88,20
89,21
90,19
91,12
92,23
93,19
94,13
95,15
96,21
97,23
98,23
99,16
100,17
101,31
102,23
103,24
104,20
105,24
106,24
107,16
108,23
109,18
110,20
111,22
112,18
113,21
114,23
115,28
116,26
117,22
118,29
119,35
